"","x","x1","rating","plan","abbreviation","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"242",312,1715,4,"Health First Health Plans","FL","HMO/POS","Yes",4,3.5,3.5,"Medicare","Other"
"243",313,1814,4,"Humana Medical Plan - Florida","FL","HMO","Yes",3,4,3.5,"Medicare","Humana"
"244",314,1914,4,"Optimum Healthcare","FL","HMO","Yes",2.5,3.5,4,"Medicare","Other"
"245",315,2012,3.5,"CarePlus Health Plans","FL","HMO","No",3.5,4,3.5,"Medicare","Other"
"246",316,2112,3.5,"Freedom Health","FL","HMO","Yes",2.5,3.5,3.5,"Medicare","Other"
"247",317,2211,3.5,"Health Options","FL","HMO","Yes",4,3,3,"Medicare","Other"
"248",318,2311,3.5,"HealthSun Health Plans","FL","HMO","No",4,2.5,3.5,"Medicare","Other"
"249",319,2410,3.5,"Humana Health Insurance of Florida","FL","PPO","No",3.5,4,3.5,"Medicare","Humana"
"250",320,259,3.5,"Medica Healthcare Plans","FL","HMO/POS","No (In process)",4.5,3,3,"Medicare","Medica "
"251",321,269,3.5,"Preferred Care Partners Health Plan","FL","HMO/POS","Yes (Interim)",4,3,2.5,"Medicare","Other"
"252",322,277,3.5,"UnitedHealthcare Insurance","FL","PPO","Yes",3,3.5,3,"Medicare","United"
"253",323,286,3.5,"UnitedHealthcare Insurance","FL","PPO","Yes",3,3,3,"Medicare","United"
"254",325,926,3.5,"Coventry Health Care of Florida","FL","HMO","Yes",3.5,3,3,"Medicaid","Coventry"
"255",326,1025,3.5,"Humana Medical Plan - Florida","FL","HMO","Yes",2.5,3.5,3,"Medicaid","Humana"
"256",327,1123,3.5,"WellCare of Florida","FL","HMO","Yes",3,3,3,"Medicaid","WellCare"
"257",328,1222,3,"AMERIGROUP Florida","FL","HMO","No",3,3,3,"Medicaid","Other"
"258",329,1321,3,"Molina Healthcare of Florida","FL","HMO","Yes",3,2.5,2.5,"Medicaid","Molina"
"259",330,1420,3,"Sunshine Health Plan","FL","HMO","Yes",2.5,2.5,2.5,"Medicaid","Other"
"260",331,1520,3,"UnitedHealthcare Community Plan","FL","HMO","Yes",3,2.5,2.5,"Medicaid","United"
"261",338,927,4.5,"Kaiser Foundation Health Plan of Georgia","GA","HMO","Yes",3.5,4.5,4,"Commercial","Kaiser"
"262",339,1026,3.5,"Aetna Health (Georgia)","GA","HMO/POS","Yes",3,2.5,3,"Commercial","Aetna"
"263",340,1124,3.5,"Blue Cross Blue Shield Healthcare Plan of Georgia","GA","HMO/POS","Yes",3,3,3,"Commercial","Blue"
"264",341,1223,3,"Aetna Life Insurance Company (Georgia)","GA","PPO","Yes",3.5,2.5,2.5,"Commercial","Aetna"
"265",342,1322,3,"Cigna Health and Life Insurance","GA","PPO","Yes",2.5,3,2.5,"Commercial","Cigna"
"266",343,1421,3,"Connecticut General Life Insurance (Cigna)","GA","PPO","Yes",2.5,3,2.5,"Commercial","Connecticut General"
"267",344,1521,3,"Coventry Health Care of Georgia","GA","HMO/POS","Yes",2.5,2.5,2,"Commercial","Coventry"
"268",345,1618,3,"Humana Employers Health Plan of Georgia","GA","HMO/POS","Yes",2.5,3,2.5,"Commercial","Humana"
"269",346,1717,3,"United HealthCare Services","GA","PPO","Yes",3,2.5,2,"Commercial","United"
"270",347,1816,3,"UnitedHealthcare Insurance","GA","PPO","Yes",3,2.5,2,"Commercial","United"
"271",348,1916,2.5,"Blue Cross Blue Shield of Georgia","GA","PPO","Yes",3,2,1.5,"Commercial","Blue"
"272",349,2014,2.5,"United Healthcare Insurance","GA","PPO","Yes",2.5,1.5,2,"Commercial","United"
"273",350,2114,2.5,"UnitedHealthcare of Georgia","GA","HMO/POS","Yes",2.5,2,1.5,"Commercial","United"
"274",351,2212,2,"Cigna HealthCare of Georgia","GA","HMO/POS","Yes",2.5,2,NA,"Commercial","Cigna"
"275",355,928,5,"Kaiser Foundation Health Plan of Georgia","GA","HMO","Yes",4.5,4.5,4,"Medicare","Kaiser"
"276",356,1027,4,"Aetna Life Insurance Company (Georgia)","GA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"277",357,1125,4,"Aetna Life Insurance Company (Pennsylvania)","GA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"278",358,1224,3.5,"Aetna Health (Georgia)","GA","HMO","Yes",3,3,3,"Medicare","Aetna"
"279",359,1323,3.5,"Humana Employers Health Plan of Georgia","GA","HMO","Yes",3.5,2.5,2.5,"Medicare","Humana"
"280",360,1422,3.5,"Humana Insurance (Ohio)","GA","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"281",361,1522,3.5,"UnitedHealthcare Insurance","GA","PPO","Yes",3,3.5,3,"Medicare","United"
"282",362,1619,3,"HealthSpring Life and Health (H2165)","GA","HMO","No",3.5,3,2.5,"Medicare","HealthSpring"
"283",363,1718,3,"Humana Insurance","GA","PPO","No",4,3,3,"Medicare","Humana"
"284",364,1817,3,"UnitedHealthcare Insurance","GA","HMO","Yes",2.5,2.5,2.5,"Medicare","United"
"285",365,1917,2.5,"Care Improvement Plus South Central Insurance (H6528)","GA","PPO","No",2.5,2.5,2,"Medicare","Care Improvement"
"286",366,2015,2.5,"Care Improvement Plus South Central Insurance (R3444)","GA","PPO","No",3,2.5,2,"Medicare","Care Improvement"
"287",367,2115,2.5,"Care Improvement Plus South Central Insurance (R9896)","GA","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"288",368,2213,2.5,"Coventry Health Care of Georgia","GA","HMO","No",3,2,2,"Medicare","Coventry"
"289",369,2313,2.5,"UnitedHealthcare Insurance †","GA","PPO","No",2,2,2.5,"Medicare","United"
"290",370,2412,2.5,"WellCare of Georgia","GA","HMO/POS","Yes",2.5,2,2,"Medicare","WellCare"
"291",371,2511,2,"HealthSpring Life and Health (H7811)","GA","HMO","No",2.5,2,2,"Medicare","HealthSpring"
"292",376,929,3.5,"Peach State Health Plan","GA","HMO","Yes",3,3.5,2.5,"Medicaid","Other"
"293",377,1028,3.5,"WellCare of Georgia","GA","HMO","Yes",3.5,3,2.5,"Medicaid","WellCare"
"294",378,1126,3,"AmeriGroup Georgia Managed Care","GA","HMO","Yes",3,3,2.5,"Medicaid","Other"
"295",379,930,4.5,"Hawaii Medical Service Association (Federal Plan 87)","HI","HMO/POS","Yes",5,3.5,3.5,"Commercial","Other"
"296",380,1029,4.5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",3,4.5,4,"Commercial","Kaiser"
"297",381,1127,4,"Hawaii Medical Service Association","HI","HMO/POS","Yes",3.5,3.5,3,"Commercial","Other"
"298",382,1225,4,"Hawaii Medical Service Association","HI","PPO","Yes",4,3.5,3,"Commercial","Other"
"299",383,1324,2.5,"United Healthcare Insurance","HI","PPO","Yes",2.5,1.5,2,"Commercial","United"
"300",390,931,4.5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",4,4.5,4.5,"Medicare","Kaiser"
"301",391,1030,4,"Aetna Life Insurance Company (Hawaii)","HI","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"302",392,1128,4,"Aetna Life Insurance Company (Pennsylvania)","HI","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"303",393,1226,3.5,"CHA HMO (Hawaii/Iowa)","HI","HMO","No",3.5,4,3.5,"Medicare","Other"
"304",394,1325,3.5,"Hawaii Medical Service Association (H3832)","HI","PPO","Yes",3,3.5,3,"Medicare","Other"
"305",395,1424,3.5,"Humana Insurance (Ohio)","HI","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"306",396,1524,3.5,"UnitedHealthcare Insurance","HI","PPO","Yes",3,3.5,3,"Medicare","United"
"307",397,1621,3.5,"UnitedHealthcare Insurance","HI","PPO","Yes",2.5,2.5,3,"Medicare","United"
"308",398,1720,3,"UnitedHealthcare Insurance (Regional)","HI","PPO","Yes",2.5,2,3,"Medicare","United"
"309",399,1819,3,"WellCare Health Insurance of Arizona","HI","POS","Yes",2,2,2.5,"Medicare","WellCare"
"310",400,1919,2,"AlohaCare †","HI","HMO","No",2.5,2,2,"Medicare","Other"
"311",401,932,5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",4,4.5,4,"Medicaid","Kaiser"
"312",402,1031,3.5,"WellCare Health Insurance of Arizona (Aged, Blind and Disabled)","HI","HMO","Yes",3.5,2.5,3.5,"Medicaid","WellCare"
"313",403,1129,3,"Hawaii Medical Service Association","HI","HMO","Yes",2.5,2.5,2.5,"Medicaid","Other"
"314",404,1227,3,"WellCare Health Insurance of Arizona (AZ Medicaid)","HI","HMO","Yes",2.5,2,2.5,"Medicaid","WellCare"
"315",405,1326,2.5,"UnitedHealthcare Community Plan HI QExA","HI","HMO","Yes",2.5,1,3,"Medicaid","United"
"316",406,1425,2.5,"UnitedHealthcare Community Plan HI QExA (Quest)","HI","HMO","Yes",2.5,1.5,2.5,"Medicaid","United"
"317",407,1525,2,"AlohaCare","HI","HMO","Yes (Interim)",2.5,2,2,"Medicaid","Other"
"318",408,933,4,"Group Health Cooperative","ID","HMO","Yes",2.5,4,4,"Commercial","Group Health"
"319",409,1032,4,"SelectHealth","ID","HMO/POS","Yes",3,3.5,3.5,"Commercial","Other"
"320",410,1130,3.5,"Altius Health Plans","ID","HMO/POS","Yes",3,2.5,3,"Commercial","Other"
"321",411,1228,3.5,"Group Health Options","ID","HMO/POS","Yes",1.5,3.5,3.5,"Commercial","Group Health"
"322",412,1327,3,"United HealthCare Services","ID","PPO","Yes",3,2,2.5,"Commercial","United"
"323",413,1426,3,"UnitedHealthcare Insurance","ID","PPO","Yes",3,2,2.5,"Commercial","United"
"324",414,1526,2.5,"Aetna Life Insurance Company (Idaho)","ID","PPO","Yes",3,2,2.5,"Commercial","Aetna"
"325",415,1622,2.5,"PacificSource Health Plans - Idaho","ID","PPO","Yes",2,2,2,"Commercial","Other"
"326",416,1721,2.5,"Regence BlueShield of Idaho","ID","PPO","No (Scheduled)",2.5,2.5,2.5,"Commercial","Blue"
"327",417,1820,2.5,"United Healthcare Insurance","ID","PPO","Yes",2.5,1.5,2,"Commercial","United"
"328",424,934,4.5,"Group Health Cooperative","ID","HMO","Yes",4,4.5,4,"Medicare","Group Health"
"329",425,1033,4,"Aetna Life Insurance Company (Pennsylvania)","ID","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"330",426,1131,4,"SelectHealth","ID","POS","No",4.5,3.5,3.5,"Medicare","Other"
"331",427,1229,3.5,"Blue Cross of Idaho Health Services","ID","HMO","No",4,3,3,"Medicare","Blue"
"332",428,1328,3.5,"Humana Health Plan - Kentucky","ID","HMO","Yes",3,3,3,"Medicare","Humana"
"333",429,1427,3.5,"Humana Insurance (Ohio)","ID","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"334",430,1527,3.5,"PacificSource","ID","HMO/POS","No",4,3.5,3,"Medicare","Other"
"335",431,1623,3.5,"UnitedHealthcare Insurance","ID","PPO","Yes",3,3.5,3,"Medicare","United"
"336",432,1722,3.5,"UnitedHealthcare Insurance","ID","PPO","Yes",4,2.5,3,"Medicare","United"
"337",433,1821,3,"PacificSource","ID","PPO","No",3.5,2,3,"Medicare","Other"
"338",434,1921,3,"Regence BlueShield of Idaho","ID","PPO","No (Scheduled)",3.5,3,3,"Medicare","Blue"
"339",435,2017,2.5,"Blue Cross of Idaho Health Services","ID","PPO","No",3.5,1.5,2.5,"Medicare","Blue"
"340",437,935,4,"Health Alliance Medical Plans","IL","HMO/POS","Yes",3,3.5,3.5,"Commercial","Health Alliance"
"341",438,1034,4,"Medical Associates Health Plan","IL","HMO/POS","Yes",4,3,4,"Commercial","Other"
"342",439,1132,3.5,"Aetna Life Insurance Company (Illinois)","IL","PPO","Yes",3,3,3,"Commercial","Aetna"
"343",440,1230,3.5,"Cigna Health and Life Insurance","IL","PPO","Yes",2.5,3.5,3.5,"Commercial","Cigna"
"344",441,1329,3.5,"Connecticut General Life Insurance (Cigna)","IL","PPO","Yes",2.5,3.5,3.5,"Commercial","Connecticut General"
"345",442,1428,3.5,"Coventry Health Care of Illinois","IL","HMO/POS","Yes",3.5,2.5,3.5,"Commercial","Coventry"
"346",443,1528,3.5,"Coventry Health Care of Missouri","IL","HMO/POS","Yes",4,3,3,"Commercial","Coventry"
"347",444,1624,3.5,"Health Alliance Medical Plans","IL","PPO","Yes",2.5,3.5,3,"Commercial","Health Alliance"
"348",445,1723,3.5,"HMO Illinois and Blue Advantage HMO","IL","HMO","Yes",3,3,3.5,"Commercial","Blue"
"349",446,1822,3.5,"Humana Benefit Plan of Illinois","IL","HMO","No",4.5,NA,NA,"Commercial","Humana"
"350",447,1922,3.5,"Humana Health Plan - Chicago Market","IL","HMO/POS","Yes",3,2.5,3,"Commercial","Humana"
"351",448,2018,3.5,"Humana Insurance (Illinois)","IL","PPO","Yes",3.5,3,3,"Commercial","Humana"
"352",449,2117,3,"Aetna Health (Pennsylvania) - Missouri","IL","HMO/POS","Yes",NA,2,2.5,"Commercial","Aetna"
"353",450,2215,3,"Aetna Health (Pennsylvania) -Illinois","IL","HMO/POS","Yes",1.5,2.5,2.5,"Commercial","Aetna"
"354",451,2315,3,"Coventry Health and Life Insurance Company (Illinois)","IL","PPO","Yes",3.5,2,3,"Commercial","Coventry"
"355",452,2414,3,"Coventry Health and Life Insurance Company (Missouri)","IL","PPO","Yes",3.5,2.5,2.5,"Commercial","Coventry"
"356",453,2512,3,"Coventry Health Care of Illinois","IL","PPO","Yes",3.5,2,3,"Commercial","Coventry"
"357",454,2611,3,"Humana Health Plan","IL","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"358",455,279,3,"United HealthCare Services","IL","PPO","Yes",3,2.5,3,"Commercial","United"
"359",456,288,3,"UnitedHealthcare Insurance","IL","PPO","Yes",3,2.5,3,"Commercial","United"
"360",458,936,5,"Medical Associates Health Plan","IL","HMO","Yes",5,4.5,4,"Medicare","Other"
"361",459,1035,4.5,"Health Alliance Medical Plans","IL","HMO","Yes",4,4.5,3.5,"Medicare","Health Alliance"
"362",460,1133,4.5,"Humana Benefit Plan of Illinois","IL","HMO","Yes",4,4,4,"Medicare","Humana"
"363",461,1231,4,"Aetna Life Insurance Company (Illinois)","IL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"364",462,1330,4,"Aetna Life Insurance Company (Pennsylvania)","IL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"365",463,1429,4,"Essence Healthcare","IL","HMO","No",5,4.5,3.5,"Medicare","Other"
"366",464,1529,4,"Health Alliance Medical Plans","IL","PPO","Yes",4.5,3.5,3,"Medicare","Health Alliance"
"367",465,1625,4,"Humana Health Plan","IL","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"368",466,1724,4,"Humana Health Plan - Chicago Market","IL","HMO","Yes",3,3,3.5,"Medicare","Humana"
"369",467,1823,3.5,"Coventry Health Care of Illinois","IL","PPO","No",3.5,3,3.5,"Medicare","Coventry"
"370",468,1923,3.5,"Coventry Health Care of Missouri (H2663)","IL","HMO/POS","No",3.5,4.5,3.5,"Medicare","Coventry"
"371",469,2019,3.5,"Coventry Health Care of Missouri (H2667)","IL","HMO/POS","No",4,4.5,3.5,"Medicare","Coventry"
"372",470,2118,3.5,"HealthSpring of Tennessee (H4454)","IL","HMO","No",3.5,4,3.5,"Medicare","HealthSpring"
"373",471,2216,3.5,"Humana Benefit Plan of Illinois","IL","PPO","No",3.5,3.5,3,"Medicare","Humana"
"374",472,2316,3.5,"Humana Insurance (Illinois)","IL","PPO","Yes",3,2.5,3,"Medicare","Humana"
"375",473,2415,3.5,"Humana Insurance (KS, MO)","IL","PPO","Yes",3.5,3,3,"Medicare","Humana"
"376",474,2513,3.5,"United Healthcare Insurance","IL","PPO","Yes",3.5,3.5,3,"Medicare","United"
"377",475,2612,3.5,"UnitedHealthcare Insurance","IL","PPO","Yes",3,3.5,3,"Medicare","United"
"378",476,2710,3.5,"UnitedHealthcare of the Midwest","IL","HMO/POS","Yes",3.5,3,3,"Medicare","United"
"379",477,289,3,"Blue Cross and Blue Shield of Illinois/Blue Cross Blue Shield of New Mexico (H3822)","IL","HMO","No",3,3.5,2.5,"Medicare","Blue"
"380",479,937,4,"Meridian Health Plan of Illinois","IL","HMO","Yes",3,3.5,3,"Medicaid","Other"
"381",480,1036,2.5,"Harmony Health Plan of Illinois","IL","HMO","Yes",1.5,2,2,"Medicaid","Other"
"382",481,1134,2.5,"Molina Healthcare of Illinois","IL","HMO","No",2.5,NA,2.5,"Medicaid","Molina"
"383",482,1232,2,"Aetna Better Health","IL","HMO","No",3,NA,2.5,"Medicaid","Aetna"
"384",489,938,3.5,"Aetna Health (Pennsylvania) - Ohio","IN","HMO/POS","Yes",3,3,3,"Commercial","Aetna"
"385",490,1037,3.5,"Aetna Life Insurance Company (Indiana)","IN","PPO","Yes",3.5,2.5,2.5,"Commercial","Aetna"
"386",491,1135,3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",4,2.5,3,"Commercial","Anthem"
"387",492,1233,3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","PPO","Yes",2.5,3.5,3,"Commercial","Anthem"
"388",493,1332,3.5,"HMO Illinois and Blue Advantage HMO","IN","HMO","Yes",3,3,3.5,"Commercial","Blue"
"389",494,1431,3,"ADVANTAGE Health Solutions","IN","HMO/POS","Yes",3,3,2.5,"Commercial","Other"
"390",495,1531,3,"Aetna Health (Pennsylvania) -Illinois","IN","HMO/POS","Yes",1.5,2.5,2.5,"Commercial","Aetna"
"391",496,1627,3,"Humana Health Plan","IN","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"392",497,1726,3,"United HealthCare Services","IN","PPO","Yes",3,2,2.5,"Commercial","United"
"393",498,1825,3,"UnitedHealthcare Insurance","IN","PPO","Yes",3,2,2.5,"Commercial","United"
"394",499,1924,2,"Cigna Health and Life Insurance","IN","PPO","Yes",3,1.5,1.5,"Commercial","Cigna"
"395",500,2020,2,"Connecticut General Life Insurance (Cigna)","IN","PPO","Yes",3,1.5,1.5,"Commercial","Connecticut General"
"396",506,939,4,"Aetna Life Insurance Company (Indiana)","IN","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"397",507,1038,4,"Aetna Life Insurance Company (Pennsylvania)","IN","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"398",508,1136,4,"Humana Health Plan","IN","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"399",509,1234,3.5,"Humana Health Plan - Kentucky","IN","HMO","Yes",3,3,3,"Medicare","Humana"
"400",510,1333,3.5,"Humana Insurance (Ohio)","IN","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"401",511,1432,3.5,"Indiana University Health Plans","IN","HMO/POS","No",4.5,4,3.5,"Medicare","Other"
"402",512,1532,3.5,"UnitedHealthcare Insurance","IN","PPO","Yes",3,3.5,3,"Medicare","United"
"403",513,1628,3,"ADVANTAGE Health Solutions","IN","HMO","No",3,3,3,"Medicare","Other"
"404",514,1727,3,"Humana Insurance","IN","PPO","No",4,3,3,"Medicare","Humana"
"405",515,1826,3,"Humana Insurance (Indiana)","IN","PPO","No",4,3,3,"Medicare","Humana"
"406",516,1925,2.5,"ADVANTAGE Health Solutions","IN","PPO","No",3,2.5,2.5,"Medicare","Other"
"407",517,2021,2.5,"Care Improvement Plus South Central Insurance (H6528)","IN","PPO","No",2.5,2.5,2,"Medicare","Care Improvement"
"408",518,2120,2.5,"Care Improvement Plus South Central Insurance (R3444)","IN","PPO","No",3,2.5,2,"Medicare","Care Improvement"
"409",519,2218,2.5,"Care Improvement Plus South Central Insurance (R9896)","IN","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"410",520,2318,2,"Care Improvement Plus of Texas (H0084)","IN","PPO","No",2.5,2,2,"Medicare","Care Improvement"
"411",521,2417,2,"Care Improvement Plus of Texas (R6801)","IN","PPO","No",2.5,2,2,"Medicare","Care Improvement"
"412",526,940,4,"MDwise","IN","HMO","Yes",3.5,4,3,"Medicaid","Other"
"413",527,1039,3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",3,3.5,2.5,"Medicaid","Anthem"
"414",528,1137,3.5,"Managed Health Services","IN","HMO","Yes",4,3,2.5,"Medicaid","Other"
"415",529,941,4.5,"Gundersen Health Plan","IA","HMO","Yes",3.5,3.5,4,"Commercial","Other"
"416",530,1040,4.5,"HealthPartners Administrators","IA","HMO/POS/PPO","Yes",4,4,4.5,"Commercial","Other"
"417",531,1138,4,"Health Alliance Midwest","IA","HMO/POS","Yes",3,3.5,3.5,"Commercial","Health Alliance"
"418",532,1235,4,"Medical Associates Health Plan","IA","HMO/POS","Yes",4,3,4,"Commercial","Other"
"419",533,1334,4,"Sanford Health Plan","IA","HMO","Yes",3,3,4,"Commercial","Other"
"420",534,1433,4,"Wellmark Health Plan of Iowa","IA","HMO/POS","Yes",3.5,3.5,4,"Commercial","Other"
"421",535,1533,3.5,"Coventry Health Care of Iowa","IA","HMO/POS","Yes",3.5,2.5,3.5,"Commercial","Coventry"
"422",536,1629,3.5,"Health Alliance Midwest","IA","PPO","Yes",2.5,3.5,3,"Commercial","Health Alliance"
"423",537,1728,3.5,"United HealthCare Services","IA","PPO","Yes",3.5,3.5,3,"Commercial","United"
"424",538,1827,3.5,"UnitedHealthcare Insurance","IA","PPO","Yes",3.5,3.5,3,"Commercial","United"
"425",539,1926,3,"UnitedHealthcare Plan of the River Valley","IA","HMO/POS","Yes",3,2.5,2.5,"Commercial","United"
"426",540,2022,3,"UnitedHealthCare Services of the River Valley","IA","HMO/POS","Yes",3,2.5,2.5,"Commercial","United"
"427",541,2121,2.5,"Aetna Life Insurance Company (Iowa)","IA","PPO","Yes",3,2,1.5,"Commercial","Aetna"
"428",542,2219,2,"Cigna Health and Life Insurance","IA","PPO","Yes",2.5,1.5,1.5,"Commercial","Cigna"
"429",543,2319,2,"Connecticut General Life Insurance (Cigna)","IA","PPO","Yes",2.5,1.5,1.5,"Commercial","Connecticut General"
"430",548,942,5,"Gundersen Health Plan","IA","HMO","Yes",5,4.5,4,"Medicare","Other"
"431",549,1041,5,"Medical Associates Health Plan","IA","HMO","Yes",5,4.5,4,"Medicare","Other"
"432",550,1139,4.5,"Health Alliance Midwest (H1463)","IA","HMO","Yes",4,4.5,3.5,"Medicare","Health Alliance"
"433",551,1236,4,"Aetna Life Insurance Company (Pennsylvania)","IA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"434",552,1335,4,"Health Alliance Midwest","IA","PPO","Yes",4.5,3.5,3,"Medicare","Health Alliance"
"435",553,1434,4,"UnitedHealthcare of the Midlands","IA","HMO","Yes",3.5,4,3.5,"Medicare","United"
"436",554,1534,3.5,"CHA HMO (Hawaii/Iowa)","IA","HMO","No",3.5,4,3.5,"Medicare","Other"
"437",555,1630,3.5,"Coventry Health and Life Insurance Company (Iowa)","IA","PPO","No",3.5,3,4,"Medicare","Coventry"
"438",556,1729,3.5,"Coventry Health Care of Iowa","IA","HMO","No",3.5,3,3.5,"Medicare","Coventry"
"439",557,1828,3.5,"Humana Insurance (Illinois)","IA","PPO","Yes",3,2.5,3,"Medicare","Humana"
"440",558,1927,3.5,"Humana Insurance (Ohio)","IA","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"441",559,2023,3.5,"UnitedHealthcare Insurance","IA","PPO","Yes",3,3.5,3,"Medicare","United"
"442",560,2122,2,"Care Improvement Plus of Texas (H0084)","IA","PPO","No",2.5,2,2,"Medicare","Care Improvement"
"443",561,2220,2,"Care Improvement Plus of Texas (R6801)","IA","PPO","No",2.5,2,2,"Medicare","Care Improvement"
"444",564,943,4,"Meridian Health Plan of Iowa","IA","HMO","Yes",3,3.5,3.5,"Medicaid","Other"
"445",566,944,4,"Blue Cross and Blue Shield of Kansas City, Good Health HMO","KS","HMO","Yes",4,3,3.5,"Commercial","Blue"
"446",567,1043,3.5,"Blue Cross and Blue Shield of Kansas City","KS","PPO","Yes",3.5,2.5,3,"Commercial","Blue"
"447",568,1140,3.5,"Coventry Health Care of Kansas","KS","HMO/POS","Yes",3.5,2.5,3,"Commercial","Coventry"
"448",569,1237,3.5,"Humana Health Plan - Kansas City","KS","HMO/POS","Yes",4.5,2.5,2.5,"Commercial","Humana"
"449",570,1336,3,"Aetna Health (Pennsylvania) - Missouri","KS","HMO/POS","Yes",NA,2,2.5,"Commercial","Aetna"
"450",571,1435,3,"Humana Health Plan","KS","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"451",572,1535,3,"Humana Insurance (KS, MO)","KS","PPO","Yes",2,2.5,2.5,"Commercial","Humana"
"452",573,1631,2.5,"Cigna Health and Life Insurance","KS","PPO","Yes",3,1.5,NA,"Commercial","Cigna"
"453",574,1730,2.5,"Connecticut General Life Insurance (Cigna)","KS","PPO","Yes",3,1.5,NA,"Commercial","Connecticut General"
"454",575,1829,2.5,"United HealthCare Services","KS","PPO","Yes",2.5,1.5,2.5,"Commercial","United"
"455",576,1928,2.5,"UnitedHealthcare Insurance","KS","PPO","Yes",2.5,1.5,2.5,"Commercial","United"
"456",577,2024,2,"Aetna Life Insurance Company (Kansas)","KS","PPO","Yes",3,1.5,1.5,"Commercial","Aetna"
"457",578,2123,2,"Cigna HealthCare of St. Louis","KS","HMO/POS","Yes",3,1.5,NA,"Commercial","Cigna"
"458",579,2221,2,"Coventry Health and Life Insurance Company (Kansas)","KS","PPO","Yes",2.5,1.5,1.5,"Commercial","Coventry"
"459",580,2321,2,"Sierra Health & Life","KS","PPO","Yes",1.5,1.5,1.5,"Commercial","Other"
"460",584,945,4,"Aetna Health (Pennsylvania)","KS","HMO","Yes",3.5,4,3,"Medicare","Aetna"
"461",585,1044,4,"Aetna Health (Pennsylvania) - Missouri","KS","HMO","Yes",3.5,4,3,"Medicare","Aetna"
"462",586,1141,4,"Aetna Life Insurance Company (Kansas)","KS","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"463",587,1238,4,"Aetna Life Insurance Company (Pennsylvania)","KS","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"464",588,1337,4,"Humana Health Plan","KS","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"465",589,1436,4,"Humana Health Plan - Kansas City","KS","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"466",590,1536,4,"UnitedHealthcare Insurance","KS","HMO","No",4,5,4,"Medicare","United"
"467",591,1632,3.5,"Coventry Health Care of Kansas","KS","HMO","No",3,3.5,3.5,"Medicare","Coventry"
"468",592,1731,3.5,"Humana Insurance (KS, MO)","KS","PPO","Yes",3.5,3,3,"Medicare","Humana"
"469",593,1830,3.5,"Humana Insurance (Ohio)","KS","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"470",594,1929,3.5,"UnitedHealthcare Insurance","KS","HMO/POS","Yes",3,3,3,"Medicare","United"
"471",595,2025,3.5,"UnitedHealthcare Insurance","KS","PPO","Yes",3,3.5,3,"Medicare","United"
"472",596,2124,3,"Coventry Health and Life Insurance Company","KS","PPO","No",3.5,3,3,"Medicare","Coventry"
"473",597,2222,3,"Humana Insurance","KS","PPO","No",4,3,3,"Medicare","Humana"
"474",599,946,2.5,"UnitedHealthcare Community Plan","KS","HMO","Yes (Interim)",3,2.5,2.5,"Medicaid","United"
"475",602,947,3.5,"Aetna Health (Pennsylvania) - Ohio","KY","HMO/POS","Yes",3,3,3,"Commercial","Aetna"
"476",603,1046,3.5,"United HealthCare Services","KY","PPO","Yes",3.5,3,2.5,"Commercial","United"
"477",604,1143,3.5,"UnitedHealthcare Insurance","KY","PPO","Yes",3.5,3,2.5,"Commercial","United"
