"","X1","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"238",2012,3,"UnitedHealthcare Insurance Company (Georgia)","GA","PPO","Yes",3,2.5,2.5,"Commercial","United"
"239",2111,3,"UnitedHealthCare of Georgia, Inc.","GA","HMO/POS","Yes",2.5,2.5,2.5,"Commercial","United"
"240",928,4.5,"Aetna Life Insurance Company (Georgia)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","GA","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"241",1027,4.5,"Kaiser Foundation Health Plan of Georgia, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1170","GA","HMO","Yes",3,5,4.5,"Medicare","Kaiser"
"242",1126,4,"Aetna Health Inc. (Georgia)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1109","GA","HMO","Yes",3.5,2.5,3.5,"Medicare","Aetna"
"243",1224,4,"Sierra Health and Life Insurance Company, Inc. (GA)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","GA","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"244",1323,3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","GA","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"245",1418,3,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","GA","HMO/POS","No",2.5,3,3.5,"Medicare","Care Improvement"
"246",1518,3,"Cigna HealthCare of Georgia, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0439","GA","HMO","No",3,3,2.5,"Medicare","Cigna"
"247",1617,3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","GA","PPO","No",3,3,3,"Medicare","Humana"
"248",1717,3,"Humana Employers Health Plan of Georgia, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H4141","GA","HMO","Yes",2.5,2.5,2.5,"Medicare","Humana"
"249",1815,3,"UnitedHealthcare of Georgia, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1111","GA","HMO","Yes",3,3,2.5,"Medicare","United"
"250",1915,2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H6528","GA","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"251",2013,2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H2165","GA","HMO","No",2.5,3,2.5,"Medicare","HealthSpring"
"252",2112,2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H6972","GA","HMO","No",2.5,2,2.5,"Medicare","HealthSpring"
"253",2212,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","GA","PPO","No",2.5,2.5,3,"Medicare","Humana"
"254",2312,2.5,"WellCare of Georgia, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1112","GA","HMO","Yes",2,2,2,"Medicare","WellCare"
"255",929,3.5,"AMGP Georgia Managed Care Company, Inc. d/b/a Amerigroup Community Care","GA","HMO","Yes",3.5,3.5,2.5,"Medicaid","Other"
"256",1028,3.5,"WellCare of Georgia, Inc.","GA","HMO","Yes",4,3.5,2.5,"Medicaid","WellCare"
"257",1127,3,"Peach State Health Plan","GA","HMO","Yes",3.5,3,2,"Medicaid","Other"
"258",930,4.5,"Hawaii Medical Service Association (Federal Plan 87)","HI","HMO/POS","Yes",5,3.5,3.5,"Commercial","Other"
"259",1029,4.5,"Kaiser Foundation Health Plan, Inc. - Hawaii","HI","HMO","Yes",3,4,4,"Commercial","Kaiser"
"260",1128,4,"Hawaii Medical Service Association (HMSA)","HI","HMO/POS","Yes",3.5,3.5,3.5,"Commercial","Other"
"261",1225,4,"Hawaii Medical Service Association (HMSA)","HI","PPO","Yes",4.5,3.5,3,"Commercial","Other"
"262",931,5,"Kaiser Foundation Health Plan, Inc. - Hawaii
                                    
                                        
                                    

                                    
                                        CMS Contract: H1230","HI","HMO","Yes",4,4.5,4.5,"Medicare","Kaiser"
"263",1030,4,"Hawaii Medical Service Association (HMSA)
                                    
                                        
                                    

                                    
                                        CMS Contract: H3832","HI","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"264",1129,4,"Sierra Health and Life Insurance Company, Inc. (HI)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","HI","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"265",1226,3.5,"CHA HMO, Inc (Hawaii/Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0028","HI","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"266",1325,2.5,"UnitedHealthCare Insurance Company (Hawaii Regional)
                                    
                                        
                                    

                                    
                                        CMS Contract: R3175","HI","PPO","No",2,2,3,"Medicare","United"
"267",1420,2.5,"WellCare Health Insurance of Arizona, Inc. dba Ohana Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2491","HI","POS","Yes",2,2,2.5,"Medicare","WellCare"
"268",932,4.5,"Kaiser Foundation Health Plan, Inc. - Hawaii","HI","HMO","Yes",4,4.5,4,"Medicaid","Kaiser"
"269",1031,3.5,"WellCare Health Insurance of Arizona, Inc. dba Ohana Health Plan
                                    
                                        
                                    

                                    
                                        Special Project: HI Medicaid","HI","HMO","Yes",3,2,3,"Medicaid","WellCare"
"270",1130,3,"Hawaii Medical Service Association (HMSA)","HI","HMO","Yes",3,2.5,3,"Medicaid","Other"
"271",1227,3,"UnitedHealthcare Insurance Company dba UnitedHealthcare Community Plan (HI QUEST Integration)","HI","HMO","Yes",2.5,2,3,"Medicaid","United"
"272",933,3.5,"Aetna Health of Utah, Inc.","ID","HMO/POS","Yes",3.5,3,3.5,"Commercial","Aetna"
"273",1032,3.5,"Aetna Life Insurance Company (Idaho)","ID","PPO/EPO","Yes",3,2.5,3,"Commercial","Aetna"
"274",1131,3.5,"Blue Cross of Idaho Health Services, Inc.","ID","PPO","Yes",3,2.5,3,"Commercial","Blue"
"275",1228,3.5,"SelectHealth Inc. (ID)","ID","POS","Yes",2.5,3,3,"Commercial","Other"
"276",1327,3,"PacificSource Health Plans - Idaho","ID","PPO","Yes",3,2,2.5,"Commercial","Other"
"277",1421,3,"Regence BlueShield of Idaho","ID","PPO","Yes",2.5,2,2.5,"Commercial","Blue"
"278",1521,3,"United Healthcare Services, Inc  (Idaho)","ID","PPO","Yes",2.5,2.5,3,"Commercial","United"
"279",1619,3,"UnitedHealthcare Insurance Company (Idaho)","ID","PPO","Yes",2.5,2.5,3,"Commercial","United"
"280",934,4,"Blue Cross of Idaho Health Services, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1350","ID","HMO","No",4.5,3.5,4,"Medicare","Blue"
"281",1033,4,"Sierra Health and Life Insurance Company, Inc. (ID,OR,WA)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","ID","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"282",1132,3.5,"Regence BlueShield of Idaho
                                    
                                        
                                    

                                    
                                        CMS Contract: H1304","ID","PPO","Yes",3,3.5,3,"Medicare","Blue"
"283",1229,3.5,"Regence BlueShield of Idaho
                                    
                                        
                                    

                                    
                                        CMS Contract: H1969","ID","HMO","Yes",3.5,2,3,"Medicare","Blue"
"284",1328,3.5,"SelectHealth Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1994","ID","POS","No",3.5,3.5,4,"Medicare","Other"
"285",1422,3,"Blue Cross of Idaho Health Services, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1302","ID","PPO","No",2.5,2.5,3.5,"Medicare","Blue"
"286",1522,3,"PacificSource Community Health Plans Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H3864","ID","HMO/POS","No",3,3.5,3,"Medicare","Other"
"287",1620,3,"PacificSource Community Health Plans Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H4754","ID","PPO","No",3,2,2.5,"Medicare","Other"
"288",935,4,"Blue Cross and Blue Shield of Illinois, a Division of Health Care Service Corporation","IL","HMO","Yes",3,3.5,3.5,"Commercial","Blue"
"289",1034,4,"Health Alliance Medical Plans","IL","HMO/POS","Yes",4,4,3.5,"Commercial","Health Alliance"
"290",1133,4,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: Accreditation","IL","HMO/POS","Yes",3.5,3.5,3.5,"Commercial","Other"
"291",1230,3.5,"Aetna Health Inc. (Pennsylvania) - Missouri","IL","HMO/POS","Yes",3,2,3,"Commercial","Aetna"
"292",1329,3.5,"Aetna Life Insurance Company (Illinois)","IL","PPO/EPO","Yes",3.5,3,3,"Commercial","Aetna"
"293",1423,3.5,"Humana Health Plan, Inc. (Illinois)","IL","HMO/POS","Yes",3,3,3,"Commercial","Humana"
"294",1523,3.5,"Humana Insurance Company (Illinois)","IL","PPO","Yes",2,3.5,3.5,"Commercial","Humana"
"295",1621,3.5,"United Healthcare Services, Inc  (Illinois)","IL","PPO","Yes",3,3,3,"Commercial","United"
"296",1721,3.5,"UnitedHealthcare Insurance Company (Illinois)","IL","PPO","Yes",3,3,3,"Commercial","United"
"297",1817,3.5,"UnitedHealthcare Insurance Company of Illinois","IL","PPO","Yes",3,3,3,"Commercial","United"
"298",1916,3.5,"UnitedHealthcare Plan of the River Valley, Inc.","IL","HMO/POS","Yes",3.5,2.5,3,"Commercial","United"
"299",2014,3.5,"UnitedHealthcare Services Company of the River Valley, Inc.","IL","HMO/POS","Yes",3.5,2.5,3,"Commercial","United"
"300",2113,3,"Cigna Health and Life Insurance Company - Illinois","IL","PPO","Yes",2.5,3,2.5,"Commercial","Cigna"
"301",2213,3,"Connecticut General Life Insurance Company - Illinois","IL","PPO","Yes",2.5,3,2.5,"Commercial","Connecticut General"
"302",2313,3,"Coventry Health Care of Illinois, Inc.","IL","HMO/POS","Yes",3.5,2,2,"Commercial","Coventry"
"303",2410,2.5,"Cigna HealthCare of St. Louis, Inc.","IL","HMO/POS","Yes",3,2,1.5,"Commercial","Cigna"
"304",259,2.5,"Coventry Health and Life Insurance Company (Illinois)","IL","PPO","Yes",2.5,2,2,"Commercial","Coventry"
"305",269,2.5,"Coventry Health Care of Illinois, Inc.","IL","PPO","Yes",2.5,2,2,"Commercial","Coventry"
"306",276,1,"Union Health Service","IL","HMO","No",2.5,0.5,1,"Commercial","Other"
"307",936,5,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1651","IL","HMO","Yes",5,4.5,NA,"Medicare","Other"
"308",1035,4.5,"Aetna Life Insurance Company (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","IL","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"309",1134,4.5,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1468","IL","HMO","Yes",4.5,4,3.5,"Medicare","Humana"
"310",1231,4,"Aetna Health Inc. (Pennsylvania) - Illinois
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","IL","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"311",1330,4,"Essence Healthcare, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2610","IL","HMO","No",4.5,4.5,3.5,"Medicare","Other"
"312",1424,4,"Health Alliance Connect
                                    
                                        
                                    

                                    
                                        CMS Contract: H1463","IL","HMO","Yes",4.5,4,3,"Medicare","Health Alliance"
"313",1524,4,"Sierra Health and Life Insurance Company, Inc. (IL)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","IL","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"314",1722,3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","IL","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"315",1818,3.5,"Coventry Health Care of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H7301","IL","PPO","No",3,3,3.5,"Medicare","Coventry"
"316",1917,3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","IL","HMO/POS","No",3.5,3.5,3.5,"Medicare","Coventry"
"317",2015,3.5,"Humana Health Plan, Inc. (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1406","IL","HMO","Yes",2.5,3.5,3,"Medicare","Humana"
"318",2114,3.5,"Humana Insurance Company (KS, MO)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1716","IL","PPO","Yes",3.5,3,3,"Medicare","Humana"
"319",2214,3,"HealthSpring of Tennessee dba Cigna-HealthSpring of Illinois
                                    
                                        
                                    

                                    
                                        CMS Contract: H1415","IL","HMO","Yes",2.5,3,2.5,"Medicare","HealthSpring"
"320",2314,3,"HealthSpring of Tennessee dba Cigna-HealthSpring of Illinois
                                    
                                        
                                    

                                    
                                        CMS Contract: H6751","IL","HMO","Yes",2,1.5,3,"Medicare","HealthSpring"
"321",2411,3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","IL","PPO","No",3,3,3,"Medicare","Humana"
"322",2510,3,"Humana Health Plan, Inc. (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0336","IL","HMO","Yes",2,1.5,3,"Medicare","Humana"
"323",277,2.5,"Harmony Health Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1416","IL","HMO/POS","Yes",1.5,2,2,"Medicare","Other"
"324",286,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","IL","PPO","No",2.5,2.5,3,"Medicare","Humana"
"325",937,4,"Meridian Health Plan of Illinois, Inc.","IL","HMO","Yes",3,3.5,3.5,"Medicaid","Other"
"326",1036,3.5,"Humana Health Plan, Inc. (Illinois)","IL","HMO","Yes",3,NA,3,"Medicaid","Humana"
"327",1135,3.5,"IlliniCare Health
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - ICP","IL","HMO","Yes",3.5,NA,3,"Medicaid","Other"
"328",1232,3,"Harmony Health Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: IL Region","IL","HMO","Yes",2,3,2,"Medicaid","Other"
"329",1331,3,"IlliniCare Health
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - FHP","IL","HMO","Yes",2,2,2.5,"Medicaid","Other"
"330",1425,3,"Molina Healthcare of Illinois, Inc.","IL","HMO","Yes",2,3,2.5,"Medicaid","Molina"
"331",1525,2.5,"HealthSpring of Tennessee dba Cigna-HealthSpring of Illinois","IL","HMO","Yes",3.5,NA,2,"Medicaid","HealthSpring"
"332",1623,2,"Aetna Better Health of Illinois","IL","HMO","Yes (Interim)",3,2.5,1.5,"Medicaid","Aetna"
"333",1723,2,"Family Health Network","IL","HMO","Yes",2,3,1,"Medicaid","Health Net"
"334",1819,1.5,"Community Care Alliance of Illinois","IL","HMO","Yes",3,1,1,"Medicaid","Other"
"335",938,3.5,"Aetna Life Insurance Company (Indiana)","IN","PPO/EPO","Yes",3,2.5,3,"Commercial","Aetna"
"336",1037,3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",3,2.5,3,"Commercial","Anthem"
"337",1136,3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana","IN","PPO/EPO","Yes",3,3,3,"Commercial","Anthem"
"338",1233,3,"Aetna Health Inc. (Pennsylvania) - Ohio","IN","HMO/POS","Yes",2.5,2.5,3,"Commercial","Aetna"
"339",1332,3,"United Healthcare Services, Inc  (Indiana)","IN","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"340",1426,3,"UnitedHealthcare Insurance Company (Indiana)","IN","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"341",1526,2.5,"Cigna Health and Life Insurance Company - Indiana","IN","PPO","Yes",3,1.5,2,"Commercial","Cigna"
"342",1624,2.5,"Connecticut General Life Insurance Company - Indiana","IN","PPO","Yes",3,1.5,2,"Commercial","Connecticut General"
"343",939,4.5,"Aetna Life Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","IN","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"344",1038,4,"Sierra Health and Life Insurance Company, Inc. (IN,MI,OH)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","IN","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"345",1234,3.5,"Humana Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1510","IN","PPO","No",3,3,3.5,"Medicare","Humana"
"346",1333,3.5,"Indiana University Health Plans, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H7220","IN","HMO/POS","No",4,3.5,3,"Medicare","Other"
"347",1427,3,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","IN","HMO/POS","No",2.5,3,3.5,"Medicare","Care Improvement"
"348",1527,3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","IN","PPO","No",3,3,3,"Medicare","Humana"
"349",1625,2.5,"Cigna HealthCare of Indiana, Inc
                                    
                                        
                                    

                                    
                                        CMS Contract: H3945","IN","HMO","No",2.5,2,2.5,"Medicare","Cigna"
"350",1725,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","IN","PPO","No",2.5,2.5,3,"Medicare","Humana"
"351",940,3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",3,3.5,3,"Medicaid","Anthem"
"352",1039,3.5,"MDwise, Inc.","IN","HMO","Yes",3,3.5,3,"Medicaid","Other"
"353",1138,3,"Coordinated Care Corporation Indiana, Inc. (d/b/a Managed Health Services)
                                    
                                        
                                    

                                    
                                        Special Project: IN HHW-Medicaid","IN","HMO","Yes",3,3,2,"Medicaid","Other"
"354",1235,3,"Coordinated Care Corporation Indiana, Inc. (d/b/a Managed Health Services)
                                    
                                        
                                    

                                    
                                        Special Project: IN Medicaid","IN","HMO","Yes",3,2.5,2.5,"Medicaid","Other"
"355",941,4.5,"Gundersen Health Plan, Inc.","IA","HMO","Yes",3.5,4,4.5,"Commercial","Other"
"356",1040,4.5,"HealthPartners Administrators Inc.","IA","HMO/POS/PPO","Yes",3.5,4.5,4,"Commercial","Other"
"357",1139,4,"Health Alliance Midwest, Inc.","IA","HMO/POS","Yes",4,4,3.5,"Commercial","Health Alliance"
"358",1236,4,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: Accreditation","IA","HMO/POS","Yes",3.5,3.5,3.5,"Commercial","Other"
"359",1335,4,"Wellmark Health Plan of Iowa, Inc.","IA","HMO/POS","Yes",4,4,3.5,"Commercial","Other"
"360",1428,3.5,"Aetna Life Insurance Company (Iowa)","IA","PPO/EPO","Yes",3,3,3,"Commercial","Aetna"
"361",1528,3.5,"Avera Health Plans, Inc.","IA","HMO","Yes",2,2.5,3.5,"Commercial","Other"
"362",1626,3.5,"Sanford Health Plan","IA","HMO","Yes",2,3.5,3.5,"Commercial","Other"
"363",1726,3.5,"United Healthcare Services, Inc  (Iowa)","IA","PPO","Yes",2.5,3.5,3,"Commercial","United"
"364",1822,3.5,"UnitedHealthcare Insurance Company (Iowa)","IA","PPO","Yes",2.5,3.5,3,"Commercial","United"
"365",1921,3.5,"UnitedHealthcare Plan of the River Valley, Inc.","IA","HMO/POS","Yes",3.5,2.5,3,"Commercial","United"
"366",2018,3.5,"UnitedHealthcare Services Company of the River Valley, Inc.","IA","HMO/POS","Yes",3.5,2.5,3,"Commercial","United"
"367",2116,3,"Cigna Health and Life Insurance Company - Iowa","IA","PPO","Yes",3,2.5,2,"Commercial","Cigna"
"368",2216,3,"Connecticut General Life Insurance Company - Iowa","IA","PPO","Yes",3,2.5,2,"Commercial","Connecticut General"
"369",942,5,"Gundersen Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5262","IA","HMO","Yes",5,5,4.5,"Medicare","Other"
"370",1041,5,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1651","IA","HMO","Yes",5,4.5,NA,"Medicare","Other"
"371",1140,4.5,"Aetna Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","IA","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"372",1237,4,"Aetna Health Inc. (Florida) - Iowa
                                    
                                        
                                    

                                    
                                        CMS Contract: H1609","IA","HMO","Yes",3.5,4,3,"Medicare","Aetna"
"373",1336,4,"Sierra Health and Life Insurance Company, Inc. (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","IA","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"374",1627,3.5,"CHA HMO, Inc (Hawaii/Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0028","IA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"375",1727,3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","IA","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"376",944,3.5,"Aetna Health Inc. (Pennsylvania) - Missouri","KS","HMO/POS","Yes",3,2,3,"Commercial","Aetna"
"377",1043,3.5,"Blue Cross and Blue Shield of Kansas City","KS","PPO","Yes",3.5,3,3,"Commercial","Blue"
"378",1142,3.5,"Blue Cross and Blue Shield of Kansas City, Good Health HMO, Inc.","KS","HMO","Yes",3,3,3.5,"Commercial","Blue"
"379",1238,3.5,"Coventry Health Care of Kansas, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Kansas","KS","HMO/POS","Yes",3,2,3.5,"Commercial","Coventry"
"380",1337,3.5,"Humana Health Plan, Inc. (Kansas City)","KS","HMO/POS","Yes",4,3,3,"Commercial","Humana"
"381",1530,3,"Aetna Life Insurance Company (Kansas)","KS","PPO/EPO","Yes",3,2,2.5,"Commercial","Aetna"
"382",1628,3,"Cigna Health and Life Insurance Company - Kansas","KS","PPO","Yes",2.5,2.5,2.5,"Commercial","Cigna"
"383",1728,3,"Connecticut General Life Insurance Company - Kansas","KS","PPO","Yes",2.5,2.5,2.5,"Commercial","Connecticut General"
"384",1824,3,"Coventry Health and Life Insurance Company (Kansas)","KS","PPO","Yes",2.5,1.5,3,"Commercial","Coventry"
"385",1923,3,"United Healthcare Services, Inc  (Kansas)","KS","PPO","Yes",3,2.5,3,"Commercial","United"
"386",2020,3,"UnitedHealthcare Insurance Company (Kansas)","KS","PPO","Yes",3,2.5,3,"Commercial","United"
"387",2117,2.5,"Cigna HealthCare of St. Louis, Inc.","KS","HMO/POS","Yes",3,2,1.5,"Commercial","Cigna"
"388",945,4.5,"Aetna Life Insurance Company (Kansas)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","KS","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"389",1044,4,"Aetna Health Inc. (Pennsylvania) - Missouri
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","KS","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"390",1143,4,"Sierra Health and Life Insurance Company, Inc. (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","KS","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"391",1239,3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","KS","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"392",1338,3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","KS","HMO/POS","No",3.5,3.5,3.5,"Medicare","Coventry"
"393",1431,3.5,"Humana Health Plan, Inc. (Kansas City)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","KS","HMO","Yes",3,3,3,"Medicare","Humana"
"394",1531,3.5,"Humana Insurance Company (KS, MO)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1716","KS","PPO","Yes",3.5,3,3,"Medicare","Humana"
"395",1629,3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","KS","HMO/POS","No",4,4.5,3.5,"Medicare","Other"
"396",1729,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","KS","PPO","No",2.5,2.5,3,"Medicare","Humana"
"397",946,3.5,"UnitedHealthcare of the Midwest, Inc. dba UnitedHealthcare Community Plan (KS)","KS","HMO","Yes",3.5,2.5,3,"Medicaid","United"
"398",1045,3,"Amerigroup Kansas, Inc.","KS","HMO","Yes",3,2,2.5,"Medicaid","Other"
"399",1144,3,"Sunflower State Health Plan","KS","HMO","Yes",3.5,2,2.5,"Medicaid","Other"
"400",947,3.5,"Humana Health Plan, Inc. (Kentucky)","KY","HMO/POS","Yes",3,3,2.5,"Commercial","Humana"
"401",1046,3.5,"United Healthcare Services, Inc  (Kentucky)","KY","PPO","Yes",3.5,2.5,3,"Commercial","United"
"402",1145,3.5,"UnitedHealthcare Insurance Company (Kentucky)","KY","PPO","Yes",3.5,2.5,3,"Commercial","United"
"403",1240,3,"Aetna Health Inc. (Pennsylvania) - Ohio","KY","HMO/POS","Yes",2.5,2.5,3,"Commercial","Aetna"
"404",1339,3,"Aetna Life Insurance Company (Kentucky)","KY","PPO/EPO","Yes",3,2,3,"Commercial","Aetna"
"405",1432,3,"Anthem Health Plans Kentucky, Inc. dba Anthem Blue Cross and Blue Shield in Kentucky","KY","HMO","Yes",2,2.5,2,"Commercial","Anthem"
"406",1532,3,"Humana Health Plan, Inc. (Kentucky)","KY","PPO","Yes",1.5,3,2.5,"Commercial","Humana"
"407",1630,2.5,"Anthem Health Plans Kentucky, Inc. dba Anthem Blue Cross and Blue Shield in Kentucky","KY","PPO/EPO","Yes",2.5,2,2,"Commercial","Anthem"
"408",1730,2.5,"Cigna Health and Life Insurance Company - Kentucky","KY","PPO","Yes",3,1.5,2,"Commercial","Cigna"
"409",1826,2.5,"Connecticut General Life Insurance Company - Kentucky","KY","PPO","Yes",3,1.5,2,"Commercial","Connecticut General"
"410",948,4.5,"Aetna Life Insurance Company (Kentucky)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","KY","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"411",1047,4,"Aetna Health Inc. (Pennsylvania) - Ohio
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","KY","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"412",1146,4,"Sierra Health and Life Insurance Company, Inc. (KY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","KY","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"413",1433,3.5,"Humana Health Plan, Inc. (Kentucky)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2012","KY","HMO","Yes",3.5,3.5,2.5,"Medicare","Humana"
"414",1533,3.5,"Humana Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1510","KY","PPO","No",3,3,3.5,"Medicare","Humana"
"415",1631,3.5,"Humana Insurance Company (Kentucky)
                                    
                                        
                                    

                                    
                                        CMS Contract: H6609","KY","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"416",1731,3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","KY","PPO","No",3,3,3,"Medicare","Humana"
"417",1827,3,"RiverLink Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H9208","KY","HMO","No",4,2.5,3,"Medicare","Other"
"418",1926,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","KY","PPO","No",2.5,2.5,3,"Medicare","Humana"
